"permutation","balanced_accuracy"
682,0.259259259259259
683,0.296296296296296
684,0.185185185185185
685,0.333333333333333
686,0.333333333333333
687,0.37037037037037
688,0.296296296296296
689,0.444444444444444
690,0.37037037037037
691,0.555555555555556
692,0.407407407407407
693,0.259259259259259
694,0.296296296296296
695,0.185185185185185
696,0.37037037037037
697,0.481481481481481
698,0.444444444444444
699,0.481481481481481
700,0.333333333333333
701,0.259259259259259
702,0.148148148148148
703,0.407407407407407
704,0.185185185185185
705,0.37037037037037
706,0.666666666666667
707,0.259259259259259
708,0.555555555555556
709,0.37037037037037
710,0.222222222222222
711,0.333333333333333
712,0.296296296296296
713,0.148148148148148
714,0.481481481481482
715,0.296296296296296
716,0.481481481481481
717,0.333333333333333
718,0.555555555555556
719,0.481481481481481
720,0.222222222222222
721,0.37037037037037
722,0.296296296296296
723,0.444444444444444
724,0.259259259259259
725,0.407407407407407
726,0.407407407407407
727,0.333333333333333
728,0.333333333333333
729,0.296296296296296
730,0.259259259259259
731,0.333333333333333
732,0.37037037037037
733,0.333333333333333
734,0.296296296296296
735,0.407407407407407
736,0.296296296296296
737,0.555555555555556
738,0.444444444444444
739,0.296296296296296
740,0.259259259259259
741,0.222222222222222
742,0.37037037037037
743,0.37037037037037
744,0.333333333333333
745,0.37037037037037
746,0.37037037037037
747,0.296296296296296
748,0.296296296296296
749,0.296296296296296
750,0.37037037037037
751,0.37037037037037
752,0.37037037037037
753,0.111111111111111
754,0.296296296296296
755,0.481481481481481
756,0.222222222222222
757,0.407407407407407
758,0.407407407407407
759,0.444444444444444
760,0.259259259259259
761,0.222222222222222
762,0.444444444444444
763,0.296296296296296
764,0.148148148148148
765,0.259259259259259
766,0.37037037037037
767,0.296296296296296
768,0.444444444444444
769,0.407407407407407
770,0.407407407407407
771,0.222222222222222
772,0.444444444444444
773,0.37037037037037
774,0.444444444444444
775,0.333333333333333
776,0.37037037037037
777,0.555555555555556
778,0.222222222222222
779,0.444444444444444
780,0.296296296296296
781,0.333333333333333
782,0.407407407407407
783,0.444444444444444
784,0.259259259259259
785,0.333333333333333
786,0.407407407407407
787,0.407407407407407
788,0.333333333333333
789,0.333333333333333
790,0.481481481481481
791,0.481481481481481
792,0.296296296296296
793,0.37037037037037
794,0.296296296296296
795,0.407407407407407
796,0.222222222222222
797,0.333333333333333
798,0.185185185185185
799,0.444444444444444
800,0.37037037037037
801,0.518518518518518
802,0.296296296296296
803,0.296296296296296
804,0.444444444444444
805,0.296296296296296
806,0.296296296296296
807,0.296296296296296
808,0.259259259259259
809,0.407407407407407
810,0.259259259259259
811,0.222222222222222
812,0.444444444444444
813,0.555555555555556
814,0.333333333333333
815,0.37037037037037
816,0.444444444444444
817,0.185185185185185
818,0.296296296296296
819,0.333333333333333
820,0.407407407407407
821,0.259259259259259
822,0.222222222222222
823,0.407407407407407
824,0.296296296296296
825,0.296296296296296
826,0.333333333333333
827,0.185185185185185
828,0.444444444444444
829,0.592592592592593
830,0.296296296296296
831,0.259259259259259
832,0.444444444444444
833,0.259259259259259
834,0.296296296296296
835,0.333333333333333
836,0.407407407407407
837,0.296296296296296
838,0.407407407407407
839,0.333333333333333
840,0.518518518518518
841,0.407407407407407
842,0.481481481481481
843,0.481481481481481
844,0.333333333333333
845,0.481481481481482
846,0.222222222222222
847,0.333333333333333
848,0.259259259259259
849,0.481481481481481
850,0.296296296296296
851,0.296296296296296
852,0.296296296296296
853,0.407407407407407
854,0.37037037037037
855,0.148148148148148
856,0.259259259259259
857,0.296296296296296
858,0.444444444444444
859,0.37037037037037
860,0.37037037037037
861,0.259259259259259
862,0.259259259259259
863,0.407407407407407
864,0.259259259259259
865,0.481481481481481
866,0.222222222222222
867,0.296296296296296
868,0.222222222222222
869,0.333333333333333
870,0.481481481481481
871,0.333333333333333
872,0.444444444444444
873,0.259259259259259
874,0.444444444444444
875,0.296296296296296
876,0.444444444444444
877,0.222222222222222
878,0.296296296296296
879,0.481481481481482
880,0.407407407407407
881,0.444444444444444
882,0.296296296296296
883,0.222222222222222
884,0.296296296296296
885,0.222222222222222
886,0.37037037037037
887,0.518518518518518
888,0.259259259259259
889,0.481481481481482
890,0.481481481481481
891,0.333333333333333
892,0.518518518518518
893,0.407407407407407
894,0.407407407407407
895,0.259259259259259
896,0.296296296296296
897,0.185185185185185
898,0.333333333333333
899,0.148148148148148
900,0.333333333333333
901,0.444444444444444
902,0.296296296296296
903,0.296296296296296
904,0.37037037037037
905,0.407407407407407
906,0.333333333333333
907,0.296296296296296
908,0.296296296296296
909,0.37037037037037
910,0.222222222222222
911,0.37037037037037
912,0.37037037037037
913,0.185185185185185
914,0.296296296296296
915,0.333333333333333
916,0.555555555555556
917,0.407407407407407
918,0.37037037037037
919,0.185185185185185
920,0.481481481481481
921,0.518518518518518
922,0.259259259259259
923,0.407407407407407
924,0.37037037037037
925,0.259259259259259
926,0.296296296296296
927,0.444444444444444
928,0.407407407407407
929,0.333333333333333
930,0.37037037037037
931,0.185185185185185
932,0.481481481481481
933,0.407407407407407
934,0.222222222222222
935,0.407407407407407
936,0.407407407407407
937,0.333333333333333
938,0.259259259259259
939,0.37037037037037
940,0.481481481481482
941,0.296296296296296
942,0.481481481481481
943,0.259259259259259
944,0.259259259259259
945,0.37037037037037
946,0.296296296296296
947,0.0740740740740741
948,0.333333333333333
949,0.259259259259259
950,0.37037037037037
951,0.111111111111111
952,0.407407407407407
953,0.296296296296296
954,0.555555555555556
955,0.296296296296296
956,0.333333333333333
957,0.296296296296296
958,0.333333333333333
959,0.222222222222222
960,0.407407407407407
961,0.296296296296296
962,0.222222222222222
963,0.62962962962963
964,0.333333333333333
965,0.296296296296296
966,0.444444444444444
967,0.37037037037037
968,0.296296296296296
969,0.259259259259259
