"gene","selected_folds","selection_frequency"
"LINC01841",1,0.0166666666666667
"LINC03067",1,0.0166666666666667
"LOC101928450",1,0.0166666666666667
"LOC107984262",1,0.0166666666666667
"LRRC37A4P",1,0.0166666666666667
"LSM8",1,0.0166666666666667
"LY96",1,0.0166666666666667
"LYAR",1,0.0166666666666667
"MACROH2A2",1,0.0166666666666667
"MAML2",1,0.0166666666666667
"MAP3K6",1,0.0166666666666667
"MCM6",1,0.0166666666666667
"MIB2",1,0.0166666666666667
"MIS18BP1",1,0.0166666666666667
"MROH1",1,0.0166666666666667
"MYD88",1,0.0166666666666667
"MYH10",1,0.0166666666666667
"NAP1L3",1,0.0166666666666667
"NFE2L2",1,0.0166666666666667
"NFKB2",1,0.0166666666666667
"NR4A2",1,0.0166666666666667
"OLA1",1,0.0166666666666667
"PDE5A",1,0.0166666666666667
"PEX2",1,0.0166666666666667
"PIK3R5",1,0.0166666666666667
"PIM3",1,0.0166666666666667
"PITPNC1",1,0.0166666666666667
"PLCB1",1,0.0166666666666667
"POLR2K",1,0.0166666666666667
"PRPF18",1,0.0166666666666667
"PRR5L",1,0.0166666666666667
"PSRC1",1,0.0166666666666667
"PSTPIP2",1,0.0166666666666667
"RAB11FIP1",1,0.0166666666666667
"RASGEF1C",1,0.0166666666666667
"RASSF1",1,0.0166666666666667
"RGL1",1,0.0166666666666667
"RHBDD1",1,0.0166666666666667
"RIPPLY3",1,0.0166666666666667
"RMI2",1,0.0166666666666667
"RNF2",1,0.0166666666666667
"RPS27L",1,0.0166666666666667
"SBDSP1",1,0.0166666666666667
"SCARF2",1,0.0166666666666667
"SCN5A",1,0.0166666666666667
"SH2D5",1,0.0166666666666667
"SHC2",1,0.0166666666666667
"SIN3A",1,0.0166666666666667
"SIRT7",1,0.0166666666666667
"SLC25A29",1,0.0166666666666667
"SLC26A6",1,0.0166666666666667
"SLC43A1",1,0.0166666666666667
"SLC7A13",1,0.0166666666666667
"SMIM29",1,0.0166666666666667
"SNHG17",1,0.0166666666666667
"SNHG8",1,0.0166666666666667
"SOWAHD",1,0.0166666666666667
"SP5",1,0.0166666666666667
"SPDYE5",1,0.0166666666666667
"SQSTM1",1,0.0166666666666667
"ST3GAL5",1,0.0166666666666667
"STING1",1,0.0166666666666667
"TAF13",1,0.0166666666666667
"TARS1",1,0.0166666666666667
"TBC1D4",1,0.0166666666666667
"TGDS",1,0.0166666666666667
"THAP3",1,0.0166666666666667
"THUMPD3-AS1",1,0.0166666666666667
"TNS2",1,0.0166666666666667
"TPRA1",1,0.0166666666666667
"TRAPPC11",1,0.0166666666666667
"TRAPPC14",1,0.0166666666666667
"TRAPPC9",1,0.0166666666666667
"TRIM16",1,0.0166666666666667
"TUB",1,0.0166666666666667
"TUBA1C",1,0.0166666666666667
